state,date,sex,age,ethnicity,population
Johor,1/1/2025,both,50-54,bumi_other,3.3
Johor,1/1/2025,both,50-54,chinese,80.8
Johor,1/1/2025,both,50-54,indian,14.7
Johor,1/1/2025,both,50-54,other_citizen,1
Johor,1/1/2025,both,50-54,other_noncitizen,12.9
Johor,1/1/2025,both,55-59,bumi_malay,102.9
Johor,1/1/2025,both,55-59,bumi_other,2.2
Johor,1/1/2025,both,55-59,chinese,74.8
Johor,1/1/2025,both,55-59,indian,12.8
Johor,1/1/2025,both,55-59,other_citizen,0.6
Johor,1/1/2025,both,55-59,other_noncitizen,9.9
Johor,1/1/2025,both,60-64,bumi_malay,91.8
Johor,1/1/2025,both,60-64,bumi_other,1.5
Johor,1/1/2025,both,60-64,chinese,65.8
Johor,1/1/2025,both,60-64,indian,10.6
Johor,1/1/2025,both,60-64,other_citizen,0.5
Johor,1/1/2025,both,60-64,other_noncitizen,6.5
Johor,1/1/2025,both,65-69,bumi_malay,72.7
Johor,1/1/2025,both,65-69,bumi_other,1.1
Johor,1/1/2025,both,65-69,chinese,56.3
Johor,1/1/2025,both,65-69,indian,8.1
Johor,1/1/2025,both,65-69,other_citizen,0.6
Johor,1/1/2025,both,65-69,other_noncitizen,10.8
Johor,1/1/2025,both,70-74,bumi_malay,41.8
Johor,1/1/2025,both,70-74,bumi_other,1
Johor,1/1/2025,both,70-74,chinese,22.6
Johor,1/1/2025,both,70-74,indian,5.2
Johor,1/1/2025,both,70-74,other_citizen,0.8
Johor,1/1/2025,both,70-74,other_noncitizen,7
Johor,1/1/2025,both,75-79,bumi_malay,26.3
Johor,1/1/2025,both,75-79,bumi_other,0.8
Johor,1/1/2025,both,75-79,chinese,15.7
Johor,1/1/2025,both,75-79,indian,2.9
Johor,1/1/2025,both,75-79,other_citizen,0.1
Johor,1/1/2025,both,75-79,other_noncitizen,3.8
Johor,1/1/2025,both,80-84,bumi_malay,13.1
Johor,1/1/2025,both,80-84,bumi_other,0.5
Johor,1/1/2025,both,80-84,chinese,7.8
Johor,1/1/2025,both,80-84,indian,1.7
Johor,1/1/2025,both,80-84,other_citizen,0
Johor,1/1/2025,both,80-84,other_noncitizen,4.1
Johor,1/1/2025,both,85+,bumi_malay,11.2
Johor,1/1/2025,both,85+,bumi_other,0.8
Johor,1/1/2025,both,85+,chinese,3.6
Johor,1/1/2025,both,85+,indian,1.2
Johor,1/1/2025,both,85+,other_citizen,0
Johor,1/1/2025,both,85+,other_noncitizen,4.6
Johor,1/1/2025,female,0-4,bumi_malay,88.5
Johor,1/1/2025,female,0-4,bumi_other,3
Johor,1/1/2025,female,0-4,chinese,21.4
Johor,1/1/2025,female,0-4,indian,6.7
Johor,1/1/2025,female,0-4,other_citizen,1.2
Johor,1/1/2025,female,0-4,other_noncitizen,1.1
Johor,1/1/2025,female,5-9,bumi_malay,98
Johor,1/1/2025,female,5-9,bumi_other,2.8
Johor,1/1/2025,female,5-9,chinese,42.3
Johor,1/1/2025,female,5-9,indian,9.5
Johor,1/1/2025,female,5-9,other_citizen,0.6
Johor,1/1/2025,female,5-9,other_noncitizen,1.1
Johor,1/1/2025,female,10-14,bumi_malay,95.9
Johor,1/1/2025,female,10-14,bumi_other,2.6
Johor,1/1/2025,female,10-14,chinese,46.5
Johor,1/1/2025,female,10-14,indian,10.1
Johor,1/1/2025,female,10-14,other_citizen,0.6
Johor,1/1/2025,female,10-14,other_noncitizen,0.8
Johor,1/1/2025,female,15-19,bumi_malay,95.3
Johor,1/1/2025,female,15-19,bumi_other,2.5
Johor,1/1/2025,female,15-19,chinese,49.2
Johor,1/1/2025,female,15-19,indian,10.8
Johor,1/1/2025,female,15-19,other_citizen,0.5
Johor,1/1/2025,female,15-19,other_noncitizen,3.6
Johor,1/1/2025,female,20-24,bumi_malay,96.7
Johor,1/1/2025,female,20-24,bumi_other,3
Johor,1/1/2025,female,20-24,chinese,48.1
Johor,1/1/2025,female,20-24,indian,10.4
Johor,1/1/2025,female,20-24,other_citizen,1.3
Johor,1/1/2025,female,20-24,other_noncitizen,13.2
Johor,1/1/2025,female,25-29,bumi_malay,93
Johor,1/1/2025,female,25-29,bumi_other,2.4
Johor,1/1/2025,female,25-29,chinese,48.8
Johor,1/1/2025,female,25-29,indian,10
Johor,1/1/2025,female,25-29,other_citizen,1.1
Johor,1/1/2025,female,25-29,other_noncitizen,10.6
Johor,1/1/2025,female,30-34,bumi_malay,84.7
Johor,1/1/2025,female,30-34,bumi_other,1.8
Johor,1/1/2025,female,30-34,chinese,47.1
Johor,1/1/2025,female,30-34,indian,9.9
Johor,1/1/2025,female,30-34,other_citizen,0.8
Johor,1/1/2025,female,30-34,other_noncitizen,8.6
Johor,1/1/2025,female,35-39,bumi_malay,85.2
Johor,1/1/2025,female,35-39,bumi_other,2
Johor,1/1/2025,female,35-39,chinese,44.4
Johor,1/1/2025,female,35-39,indian,8.1
Johor,1/1/2025,female,35-39,other_citizen,0.2
Johor,1/1/2025,female,35-39,other_noncitizen,6
Johor,1/1/2025,female,40-44,bumi_malay,82.6
Johor,1/1/2025,female,40-44,bumi_other,2.6
Johor,1/1/2025,female,40-44,chinese,43.3
Johor,1/1/2025,female,40-44,indian,9.8
Johor,1/1/2025,female,40-44,other_citizen,0.3
Johor,1/1/2025,female,40-44,other_noncitizen,4.7
Johor,1/1/2025,female,45-49,bumi_malay,61.7
Johor,1/1/2025,female,45-49,bumi_other,1.3
Johor,1/1/2025,female,45-49,chinese,40.5
Johor,1/1/2025,female,45-49,indian,8.8
Johor,1/1/2025,female,45-49,other_citizen,0.3
Johor,1/1/2025,female,45-49,other_noncitizen,3.8
Johor,1/1/2025,female,50-54,bumi_malay,56.7
Johor,1/1/2025,female,50-54,bumi_other,1.2
Johor,1/1/2025,female,50-54,chinese,39.5
Johor,1/1/2025,female,50-54,indian,7.7
Johor,1/1/2025,female,50-54,other_citizen,0.2
Johor,1/1/2025,female,50-54,other_noncitizen,2.9
Johor,1/1/2025,female,55-59,bumi_malay,52.8
Johor,1/1/2025,female,55-59,bumi_other,0.9
Johor,1/1/2025,female,55-59,chinese,37.4
Johor,1/1/2025,female,55-59,indian,6.5
Johor,1/1/2025,female,55-59,other_citizen,0.3
Johor,1/1/2025,female,55-59,other_noncitizen,2.1
Johor,1/1/2025,female,60-64,bumi_malay,46.3
Johor,1/1/2025,female,60-64,bumi_other,0.6
Johor,1/1/2025,female,60-64,chinese,31.5
Johor,1/1/2025,female,60-64,indian,5.3
Johor,1/1/2025,female,60-64,other_citizen,0.2
Johor,1/1/2025,female,60-64,other_noncitizen,1.6
Johor,1/1/2025,female,65-69,bumi_malay,37.8
Johor,1/1/2025,female,65-69,bumi_other,0.5
Johor,1/1/2025,female,65-69,chinese,28.9
Johor,1/1/2025,female,65-69,indian,4.5
Johor,1/1/2025,female,65-69,other_citizen,0.1
Johor,1/1/2025,female,65-69,other_noncitizen,4.8
Johor,1/1/2025,female,70-74,bumi_malay,21.9
Johor,1/1/2025,female,70-74,bumi_other,0.5
Johor,1/1/2025,female,70-74,chinese,12
Johor,1/1/2025,female,70-74,indian,3
Johor,1/1/2025,female,70-74,other_citizen,0.3
Johor,1/1/2025,female,70-74,other_noncitizen,3
Johor,1/1/2025,female,75-79,bumi_malay,13.8
Johor,1/1/2025,female,75-79,bumi_other,0.4
Johor,1/1/2025,female,75-79,chinese,8.5
Johor,1/1/2025,female,75-79,indian,1.7
Johor,1/1/2025,female,75-79,other_citizen,0.1
Johor,1/1/2025,female,75-79,other_noncitizen,1.5
Johor,1/1/2025,female,80-84,bumi_malay,7.1
Johor,1/1/2025,female,80-84,bumi_other,0.2
Johor,1/1/2025,female,80-84,chinese,4.3
Johor,1/1/2025,female,80-84,indian,0.9
Johor,1/1/2025,female,80-84,other_citizen,0
Johor,1/1/2025,female,80-84,other_noncitizen,1.6
Johor,1/1/2025,female,85+,bumi_malay,5
Johor,1/1/2025,female,85+,bumi_other,0.4
Johor,1/1/2025,female,85+,chinese,1.1
Johor,1/1/2025,female,85+,indian,0.5
Johor,1/1/2025,female,85+,other_citizen,0
Johor,1/1/2025,female,85+,other_noncitizen,1.6
Johor,1/1/2025,male,0-4,bumi_malay,94.3
Johor,1/1/2025,male,0-4,bumi_other,3.2
Johor,1/1/2025,male,0-4,chinese,22.7
Johor,1/1/2025,male,0-4,indian,7
Johor,1/1/2025,male,0-4,other_citizen,1.2
Johor,1/1/2025,male,0-4,other_noncitizen,1.4
Johor,1/1/2025,male,5-9,bumi_malay,98.1
Johor,1/1/2025,male,5-9,bumi_other,2.8
Johor,1/1/2025,male,5-9,chinese,40.4
Johor,1/1/2025,male,5-9,indian,8.7
Johor,1/1/2025,male,5-9,other_citizen,0.6
Johor,1/1/2025,male,5-9,other_noncitizen,1.2
Johor,1/1/2025,male,10-14,bumi_malay,101.8
Johor,1/1/2025,male,10-14,bumi_other,2.7
Johor,1/1/2025,male,10-14,chinese,49
Johor,1/1/2025,male,10-14,indian,10.5
Johor,1/1/2025,male,10-14,other_citizen,0.5
Johor,1/1/2025,male,10-14,other_noncitizen,0.8
Johor,1/1/2025,male,15-19,bumi_malay,102.2
Johor,1/1/2025,male,15-19,bumi_other,2.6
Johor,1/1/2025,male,15-19,chinese,53.4
Johor,1/1/2025,male,15-19,indian,11.3
Johor,1/1/2025,male,15-19,other_citizen,0.6
Johor,1/1/2025,male,15-19,other_noncitizen,15
Johor,1/1/2025,male,20-24,bumi_malay,101.7
Johor,1/1/2025,male,20-24,bumi_other,2.9
Johor,1/1/2025,male,20-24,chinese,50.1
Johor,1/1/2025,male,20-24,indian,10.7
Johor,1/1/2025,male,20-24,other_citizen,2.8
Johor,1/1/2025,male,20-24,other_noncitizen,64.7
Johor,1/1/2025,male,25-29,bumi_malay,100
Johor,1/1/2025,male,25-29,bumi_other,1.5
Johor,1/1/2025,male,25-29,chinese,53.8
Johor,1/1/2025,male,25-29,indian,10.4
Johor,1/1/2025,male,25-29,other_citizen,1.3
Johor,1/1/2025,male,25-29,other_noncitizen,71.9
Johor,1/1/2025,male,30-34,bumi_malay,88.4
Johor,1/1/2025,male,30-34,bumi_other,1.2
Johor,1/1/2025,male,30-34,chinese,48.9
Johor,1/1/2025,male,30-34,indian,9.4
Johor,1/1/2025,male,30-34,other_citizen,0.2
Johor,1/1/2025,male,30-34,other_noncitizen,47.4
Johor,1/1/2025,male,35-39,bumi_malay,89.8
Johor,1/1/2025,male,35-39,bumi_other,2.8
Johor,1/1/2025,male,35-39,chinese,46.6
Johor,1/1/2025,male,35-39,indian,9.3
Johor,1/1/2025,male,35-39,other_citizen,0.7
Johor,1/1/2025,male,35-39,other_noncitizen,33.1
Johor,1/1/2025,male,40-44,bumi_malay,82.9
Johor,1/1/2025,male,40-44,bumi_other,3.3
Johor,1/1/2025,male,40-44,chinese,46.6
Johor,1/1/2025,male,40-44,indian,10.3
Johor,1/1/2025,male,40-44,other_citizen,0.2
Johor,1/1/2025,male,40-44,other_noncitizen,21.5
Johor,1/1/2025,male,45-49,bumi_malay,64.4
Johor,1/1/2025,male,45-49,bumi_other,3
Johor,1/1/2025,male,45-49,chinese,43.4
Johor,1/1/2025,male,45-49,indian,9.3
Johor,1/1/2025,male,45-49,other_citizen,1.1
Johor,1/1/2025,male,45-49,other_noncitizen,15
Johor,1/1/2025,male,50-54,bumi_malay,56.1
Johor,1/1/2025,male,50-54,bumi_other,2
Johor,1/1/2025,male,50-54,chinese,41.3
Johor,1/1/2025,male,50-54,indian,7
Johor,1/1/2025,male,50-54,other_citizen,0.8
Johor,1/1/2025,male,50-54,other_noncitizen,10.1
Johor,1/1/2025,male,55-59,bumi_malay,50.1
Johor,1/1/2025,male,55-59,bumi_other,1.3
Johor,1/1/2025,male,55-59,chinese,37.4
Johor,1/1/2025,male,55-59,indian,6.3
Johor,1/1/2025,male,55-59,other_citizen,0.4
Johor,1/1/2025,male,55-59,other_noncitizen,7.8
Johor,1/1/2025,male,60-64,bumi_malay,45.5
Johor,1/1/2025,male,60-64,bumi_other,0.9
Johor,1/1/2025,male,60-64,chinese,34.3
Johor,1/1/2025,male,60-64,indian,5.3
Johor,1/1/2025,male,60-64,other_citizen,0.3
Johor,1/1/2025,male,60-64,other_noncitizen,4.9
Johor,1/1/2025,male,65-69,bumi_malay,35
Johor,1/1/2025,male,65-69,bumi_other,0.6
Johor,1/1/2025,male,65-69,chinese,27.4
Johor,1/1/2025,male,65-69,indian,3.6
Johor,1/1/2025,male,65-69,other_citizen,0.5
Johor,1/1/2025,male,65-69,other_noncitizen,6
Johor,1/1/2025,male,70-74,bumi_malay,19.9
Johor,1/1/2025,male,70-74,bumi_other,0.5
Johor,1/1/2025,male,70-74,chinese,10.6
Johor,1/1/2025,male,70-74,indian,2.3
Johor,1/1/2025,male,70-74,other_citizen,0.4
Johor,1/1/2025,male,70-74,other_noncitizen,4
Johor,1/1/2025,male,75-79,bumi_malay,12.5
Johor,1/1/2025,male,75-79,bumi_other,0.4
Johor,1/1/2025,male,75-79,chinese,7.2
Johor,1/1/2025,male,75-79,indian,1.2
Johor,1/1/2025,male,75-79,other_citizen,0
Johor,1/1/2025,male,75-79,other_noncitizen,2.3
Johor,1/1/2025,male,80-84,bumi_malay,6
Johor,1/1/2025,male,80-84,bumi_other,0.3
Johor,1/1/2025,male,80-84,chinese,3.5
Johor,1/1/2025,male,80-84,indian,0.7
Johor,1/1/2025,male,80-84,other_citizen,0
Johor,1/1/2025,male,80-84,other_noncitizen,2.5
Johor,1/1/2025,male,85+,bumi_malay,6.2
Johor,1/1/2025,male,85+,bumi_other,0.4
Johor,1/1/2025,male,85+,chinese,2.5
Johor,1/1/2025,male,85+,indian,0.7
Johor,1/1/2025,male,85+,other_citizen,0
Johor,1/1/2025,male,85+,other_noncitizen,3
Kedah,1/1/2025,both,0-4,bumi_malay,140.8
Kedah,1/1/2025,both,0-4,bumi_other,0.4
Kedah,1/1/2025,both,0-4,chinese,6.8
Kedah,1/1/2025,both,0-4,indian,5.5
Kedah,1/1/2025,both,0-4,other_citizen,1.5
Kedah,1/1/2025,both,0-4,other_noncitizen,12.4
Kedah,1/1/2025,both,5-9,bumi_malay,143.2
Kedah,1/1/2025,both,5-9,bumi_other,0.4
Kedah,1/1/2025,both,5-9,chinese,16.7
Kedah,1/1/2025,both,5-9,indian,7.8
Kedah,1/1/2025,both,5-9,other_citizen,2.3
Kedah,1/1/2025,both,5-9,other_noncitizen,7.6
Kedah,1/1/2025,both,10-14,bumi_malay,143.1
Kedah,1/1/2025,both,10-14,bumi_other,0.4
Kedah,1/1/2025,both,10-14,chinese,20.8
Kedah,1/1/2025,both,10-14,indian,10.1
Kedah,1/1/2025,both,10-14,other_citizen,2.7
Kedah,1/1/2025,both,10-14,other_noncitizen,4.9
Kedah,1/1/2025,both,15-19,bumi_malay,130.7
Kedah,1/1/2025,both,15-19,bumi_other,0.2
Kedah,1/1/2025,both,15-19,chinese,24.1
Kedah,1/1/2025,both,15-19,indian,12.9
Kedah,1/1/2025,both,15-19,other_citizen,1.7
Kedah,1/1/2025,both,15-19,other_noncitizen,6.1
Kedah,1/1/2025,both,20-24,bumi_malay,151
Kedah,1/1/2025,both,20-24,bumi_other,0.2
Kedah,1/1/2025,both,20-24,chinese,17.8
Kedah,1/1/2025,both,20-24,indian,10.2
Kedah,1/1/2025,both,20-24,other_citizen,2
Kedah,1/1/2025,both,20-24,other_noncitizen,17.2
Kedah,1/1/2025,both,25-29,bumi_malay,167.8
Kedah,1/1/2025,both,25-29,bumi_other,0.3
Kedah,1/1/2025,both,25-29,chinese,20.6
Kedah,1/1/2025,both,25-29,indian,12.3
Kedah,1/1/2025,both,25-29,other_citizen,2.5
Kedah,1/1/2025,both,25-29,other_noncitizen,21.5
Kedah,1/1/2025,both,30-34,bumi_malay,143.9
Kedah,1/1/2025,both,30-34,bumi_other,0.2
Kedah,1/1/2025,both,30-34,chinese,20.8
Kedah,1/1/2025,both,30-34,indian,10.8
Kedah,1/1/2025,both,30-34,other_citizen,1.7
Kedah,1/1/2025,both,30-34,other_noncitizen,12.6
Kedah,1/1/2025,both,35-39,bumi_malay,112.2
Kedah,1/1/2025,both,35-39,bumi_other,0.5
Kedah,1/1/2025,both,35-39,chinese,17.6
Kedah,1/1/2025,both,35-39,indian,10
Kedah,1/1/2025,both,35-39,other_citizen,2.2
Kedah,1/1/2025,both,35-39,other_noncitizen,9
Kedah,1/1/2025,both,40-44,bumi_malay,99.3
Kedah,1/1/2025,both,40-44,bumi_other,0.3
Kedah,1/1/2025,both,40-44,chinese,13.4
Kedah,1/1/2025,both,40-44,indian,8.5
Kedah,1/1/2025,both,40-44,other_citizen,1.8
Kedah,1/1/2025,both,40-44,other_noncitizen,5.6
Kedah,1/1/2025,both,45-49,bumi_malay,86.7
Kedah,1/1/2025,both,45-49,bumi_other,0.2
Kedah,1/1/2025,both,45-49,chinese,14.8
Kedah,1/1/2025,both,45-49,indian,7.8
Kedah,1/1/2025,both,45-49,other_citizen,1.4
Kedah,1/1/2025,both,45-49,other_noncitizen,2.9
Kedah,1/1/2025,both,50-54,bumi_malay,84.5
Kedah,1/1/2025,both,50-54,bumi_other,0.2
Kedah,1/1/2025,both,50-54,chinese,14.9
Kedah,1/1/2025,both,50-54,indian,6.5
Kedah,1/1/2025,both,50-54,other_citizen,1.3
Kedah,1/1/2025,both,50-54,other_noncitizen,1.9
Kedah,1/1/2025,both,55-59,bumi_malay,79.3
Kedah,1/1/2025,both,55-59,bumi_other,0.4
Kedah,1/1/2025,both,55-59,chinese,15.2
Kedah,1/1/2025,both,55-59,indian,6.5
Kedah,1/1/2025,both,55-59,other_citizen,1.3
Kedah,1/1/2025,both,55-59,other_noncitizen,1.1
Kedah,1/1/2025,both,60-64,bumi_malay,71.5
Kedah,1/1/2025,both,60-64,bumi_other,0.4
Kedah,1/1/2025,both,60-64,chinese,15.3
Kedah,1/1/2025,both,60-64,indian,6.2
Kedah,1/1/2025,both,60-64,other_citizen,1.2
Kedah,1/1/2025,both,60-64,other_noncitizen,0.7
Kedah,1/1/2025,both,65-69,bumi_malay,59
Kedah,1/1/2025,both,65-69,bumi_other,0.2
Kedah,1/1/2025,both,65-69,chinese,14.1
Kedah,1/1/2025,both,65-69,indian,5.2
Kedah,1/1/2025,both,65-69,other_citizen,0.9
Kedah,1/1/2025,both,65-69,other_noncitizen,2.6
Kedah,1/1/2025,both,70-74,bumi_malay,44.4
Kedah,1/1/2025,both,70-74,bumi_other,0.2
Kedah,1/1/2025,both,70-74,chinese,6
Kedah,1/1/2025,both,70-74,indian,3.8
Kedah,1/1/2025,both,70-74,other_citizen,0.8
Kedah,1/1/2025,both,70-74,other_noncitizen,1.7
Kedah,1/1/2025,both,75-79,bumi_malay,28.1
Kedah,1/1/2025,both,75-79,bumi_other,0.1
Kedah,1/1/2025,both,75-79,chinese,4.5
Kedah,1/1/2025,both,75-79,indian,2.2
Kedah,1/1/2025,both,75-79,other_citizen,0.5
Kedah,1/1/2025,both,75-79,other_noncitizen,1.1
Kedah,1/1/2025,both,80-84,bumi_malay,14
Kedah,1/1/2025,both,80-84,bumi_other,0.1
Kedah,1/1/2025,both,80-84,chinese,2.2
Kedah,1/1/2025,both,80-84,indian,1
Kedah,1/1/2025,both,80-84,other_citizen,0.2
Kedah,1/1/2025,both,80-84,other_noncitizen,0.8
Kedah,1/1/2025,both,85+,bumi_malay,11.7
Kedah,1/1/2025,both,85+,bumi_other,0.2
Kedah,1/1/2025,both,85+,chinese,1.1
Kedah,1/1/2025,both,85+,indian,1.1
Kedah,1/1/2025,both,85+,other_citizen,0
Kedah,1/1/2025,both,85+,other_noncitizen,1.4
Kedah,1/1/2025,female,0-4,bumi_malay,68.3
Kedah,1/1/2025,female,0-4,bumi_other,0.2
Kedah,1/1/2025,female,0-4,chinese,3.3
Kedah,1/1/2025,female,0-4,indian,2.7
Kedah,1/1/2025,female,0-4,other_citizen,0.7
Kedah,1/1/2025,female,0-4,other_noncitizen,5
Kedah,1/1/2025,female,5-9,bumi_malay,68.1
Kedah,1/1/2025,female,5-9,bumi_other,0.3
Kedah,1/1/2025,female,5-9,chinese,9
Kedah,1/1/2025,female,5-9,indian,4
Kedah,1/1/2025,female,5-9,other_citizen,1.1
Kedah,1/1/2025,female,5-9,other_noncitizen,2.8
Kedah,1/1/2025,female,10-14,bumi_malay,69.4
Kedah,1/1/2025,female,10-14,bumi_other,0.1
Kedah,1/1/2025,female,10-14,chinese,10.3
Kedah,1/1/2025,female,10-14,indian,5.2
Kedah,1/1/2025,female,10-14,other_citizen,1.3
Kedah,1/1/2025,female,10-14,other_noncitizen,1.7
Kedah,1/1/2025,female,15-19,bumi_malay,63.6
Kedah,1/1/2025,female,15-19,bumi_other,0.1
Kedah,1/1/2025,female,15-19,chinese,12
Kedah,1/1/2025,female,15-19,indian,6.6
Kedah,1/1/2025,female,15-19,other_citizen,0.8
Kedah,1/1/2025,female,15-19,other_noncitizen,1.7
Kedah,1/1/2025,female,20-24,bumi_malay,72.5
Kedah,1/1/2025,female,20-24,bumi_other,0.1
Kedah,1/1/2025,female,20-24,chinese,8.8
Kedah,1/1/2025,female,20-24,indian,5
Kedah,1/1/2025,female,20-24,other_citizen,0.8
Kedah,1/1/2025,female,20-24,other_noncitizen,3.8
Kedah,1/1/2025,female,25-29,bumi_malay,81.4
Kedah,1/1/2025,female,25-29,bumi_other,0.2
Kedah,1/1/2025,female,25-29,chinese,9.1
Kedah,1/1/2025,female,25-29,indian,5.7
Kedah,1/1/2025,female,25-29,other_citizen,1
Kedah,1/1/2025,female,25-29,other_noncitizen,3.8
Kedah,1/1/2025,female,30-34,bumi_malay,70.6
Kedah,1/1/2025,female,30-34,bumi_other,0.1
Kedah,1/1/2025,female,30-34,chinese,10.4
Kedah,1/1/2025,female,30-34,indian,5.3
Kedah,1/1/2025,female,30-34,other_citizen,0.8
Kedah,1/1/2025,female,30-34,other_noncitizen,2.6
Kedah,1/1/2025,female,35-39,bumi_malay,56.4
Kedah,1/1/2025,female,35-39,bumi_other,0.2
Kedah,1/1/2025,female,35-39,chinese,9.6
Kedah,1/1/2025,female,35-39,indian,5.1
Kedah,1/1/2025,female,35-39,other_citizen,1.1
Kedah,1/1/2025,female,35-39,other_noncitizen,2.1
Kedah,1/1/2025,female,40-44,bumi_malay,52.2
Kedah,1/1/2025,female,40-44,bumi_other,0.1
Kedah,1/1/2025,female,40-44,chinese,5.6
Kedah,1/1/2025,female,40-44,indian,4.4
Kedah,1/1/2025,female,40-44,other_citizen,0.8
Kedah,1/1/2025,female,40-44,other_noncitizen,1.9
Kedah,1/1/2025,female,45-49,bumi_malay,43.5
Kedah,1/1/2025,female,45-49,bumi_other,0.1
Kedah,1/1/2025,female,45-49,chinese,7.6
Kedah,1/1/2025,female,45-49,indian,3.9
Kedah,1/1/2025,female,45-49,other_citizen,0.7
Kedah,1/1/2025,female,45-49,other_noncitizen,0.8
Kedah,1/1/2025,female,50-54,bumi_malay,44
Kedah,1/1/2025,female,50-54,bumi_other,0.1
Kedah,1/1/2025,female,50-54,chinese,7.7
Kedah,1/1/2025,female,50-54,indian,3.6
Kedah,1/1/2025,female,50-54,other_citizen,0.7
Kedah,1/1/2025,female,50-54,other_noncitizen,0.5
Kedah,1/1/2025,female,55-59,bumi_malay,41.9
Kedah,1/1/2025,female,55-59,bumi_other,0.2
Kedah,1/1/2025,female,55-59,chinese,8.2
Kedah,1/1/2025,female,55-59,indian,3.7
Kedah,1/1/2025,female,55-59,other_citizen,0.6
Kedah,1/1/2025,female,55-59,other_noncitizen,0.3
Kedah,1/1/2025,female,60-64,bumi_malay,37.4
Kedah,1/1/2025,female,60-64,bumi_other,0.2
Kedah,1/1/2025,female,60-64,chinese,7.9
Kedah,1/1/2025,female,60-64,indian,3.6
Kedah,1/1/2025,female,60-64,other_citizen,0.5
Kedah,1/1/2025,female,60-64,other_noncitizen,0.2
Kedah,1/1/2025,female,65-69,bumi_malay,31.9
Kedah,1/1/2025,female,65-69,bumi_other,0.1
Kedah,1/1/2025,female,65-69,chinese,7.5
Kedah,1/1/2025,female,65-69,indian,3.1
Kedah,1/1/2025,female,65-69,other_citizen,0.5
Kedah,1/1/2025,female,65-69,other_noncitizen,1.5
Kedah,1/1/2025,female,70-74,bumi_malay,23.7
Kedah,1/1/2025,female,70-74,bumi_other,0.1
Kedah,1/1/2025,female,70-74,chinese,3.3
Kedah,1/1/2025,female,70-74,indian,2.2
Kedah,1/1/2025,female,70-74,other_citizen,0.4
